Per,X19but,Fuco,Neox,Pra,Viol,X19hex,Allo,Zea,Lut,ChlcMGDG18,ChlcMGDG14,Chl_b,Tchla
0,0.03024,0.06225,0.00557,0.01407,0.00759,0.08224,0.00188,0.00201,0,0,0,0.08661,0.45851
0,0.01084,0.02864,0.00111,0.00351,0.00144,0.01497,0.00144,0.00191,0,0,0,0.01473,0.14571
0,0.0156,0.2172,0.0064,0.0092,0,0.0174,0.0058,0.0036,0,0,0,0.057,0.6127
0,0.0177,0.2347,0.007,0.0115,0,0.0189,0.0054,0.0038,0,0,0,0.0619,0.6207
0,0.0252,0.2952,0.0099,0.013,0,0.0211,0.0014,0.0076,0,0,0,0.0578,0.5302
0.0102,0.0222,0.2275,0.0076,0.0107,0,0.019,0,0.003,0,0,0,0.0453,0.4057
0,0.0151,0.1417,0.004,0.008,0.0026,0.0255,0.0008,0.001,0,0,0,0.0312,0.2117
0,0.0452,0.4484,0.0037,0.0065,0,0.1317,0.0044,0.0023,0,0,0,0.0093,0.6885
0,0.0518,0.6228,0.0049,0.0075,0.004,0.1321,0.0597,0.0035,0,0,0,0.0121,1.0849
0,0.022,0.109,0.004,0.008,0.003,0.042,0.003,0.003,0,0,0,0.032,0.206
0,0.049062693,0.526641835,0.017334346,0.034463572,0,0.120442872,0.029990012,0.039966194,0,0,0,0.153250497,1.039660729
0,0.020526621,0.271493439,0.017692288,0.019947584,0,0.030115477,0,0.030828916,0,0,0,0.09243326,0.481204323
0,0.022161768,0.165425707,0.012242414,0.019562855,0,0.027210489,0,0.017661542,0,0,0,0.087205952,0.340907892
0,0.014385454,0.255559406,0.020671983,0.047363662,0.011507712,0.021676506,0.009032764,0.018938989,0,0,0,0.142134419,0.489290176
0,0.026191865,0.602547731,0.038948613,0.04929322,0.034893958,0.100827275,0.031610292,0.036313122,0,0,0,0.164613333,1.381164192
0,0.026625211,0.220543879,0.024444776,0.066238354,0.027029275,0.040159825,0.00717075,0.013507988,0,0,0,0.185321896,0.571114937
0,0.065423638,0.660345893,0.044215705,0.112856203,0.064560275,0.138967767,0.016001053,0.028670688,0,0,0,0.417294671,1.741339482
0,0.053158339,0.258458604,0.016123905,0.047016657,0.011387548,0.080658181,0.010093841,0.016835362,0,0,0,0.131981112,0.577670689
0,0.060409106,0.449485185,0.027862628,0.077576307,0.025258248,0.10999693,0.019249598,0.020581908,0,0,0,0.260156149,1.073930954
0,0.075772852,0.392048902,0.01723917,0.051368831,0.020899111,0.128593309,0.024550418,0.020066576,0,0,0,0.223917201,0.990900989
0,0.06067605,0.411279541,0.021768249,0.076204159,0.022592896,0.089738319,0.016719215,0.019212773,0,0,0,0.23686078,0.952048402
0,0.04388275,0.625782985,0.012373717,0.033471651,0.013495185,0.128229647,0.018189726,0.017601736,0,0,0,0.155793805,1.249468479
0,0.039714436,0.433255072,0.014402749,0.026576111,0.010560487,0.092203874,0.014131906,0.012984478,0,0,0,0.120907323,0.919066491
0,0.030921458,0.163948124,0.01338324,0.012621759,0.008793182,0.058812854,0.011139374,0.012782671,0,0,0,0.052131822,0.348655778
0,0.027255149,0.196699118,0.009916299,0.01832477,0.009112193,0.054882137,0.013767971,0.012392348,0,0,0,0.087346978,0.455642266
0,0.01678833,0.175504819,0.008821737,0.026760488,0.006637964,0.021894351,0.008302439,0.01094655,0,0,0,0.070059553,0.34977359
0,0.02444961,0.127359638,0.007049435,0.013239777,0.004447137,0.02218985,0.005887899,0.010324368,0,0,0,0.036272116,0.236718521
0,0.015675231,0.105290468,0.00614434,0.013722355,0.00629448,0.022080741,0.004908419,0.009914413,0,0,0,0.037355785,0.21170709
0,0.031080031,0.087437298,0.0117287,0.020044305,0.005772257,0.048554659,0.00925685,0.009871839,0,0,0,0.09414383,0.301468967
